CustomerKey,GeographyKey,Full Name,MaritalStatus,Gender,YearlyIncome,Occupation,DateFirstPurchase,City,State,Country
11047,34,Jaclyn Lu,M,Female,30000.00,Skilled Manual,2021-02-03,Geelong,Victoria,Australia
11048,39,Jeremy Powell,M,Male,30000.00,Skilled Manual,2021-02-10,Sunbury,Victoria,Australia
11049,307,Carol Rai,S,Female,40000.00,Clerical,2023-03-09,Chula Vista,California,United States
11050,31,Alan Zheng,M,Male,30000.00,Skilled Manual,2021-02-20,Hobart,Tasmania,Australia
11051,21,Daniel Johnson,S,Male,30000.00,Skilled Manual,2023-12-29,Caloundra,Queensland,Australia
11052,8,Heidi Lopez,S,Female,40000.00,Clerical,2021-02-17,Matraville,New South Wales,Australia
11053,359,Ana Price,M,Female,60000.00,Skilled Manual,2023-01-17,San Diego,California,United States
11054,34,Deanna Munoz,M,Female,40000.00,Skilled Manual,2021-02-03,Geelong,Victoria,Australia
11055,22,Gilbert Raje,M,Male,40000.00,Skilled Manual,2021-01-31,East Brisbane,Queensland,Australia
11056,10,Michele Nath,M,Female,40000.00,Skilled Manual,2021-02-26,Newcastle,New South Wales,Australia
11057,5,Carl Andersen,M,Male,70000.00,Management,2021-02-22,Lane Cove,New South Wales,Australia
11058,29,Marc Diaz,M,Male,80000.00,Skilled Manual,2021-03-09,Findon,South Australia,Australia
11059,27,Ashlee Andersen,S,Female,80000.00,Skilled Manual,2023-02-18,Townsville,Queensland,Australia
11060,40,Jon Zhou,M,Male,80000.00,Skilled Manual,2021-03-19,Warrnambool,Victoria,Australia
11061,23,Todd Gao,M,Male,80000.00,Skilled Manual,2021-03-13,Gold Coast,Queensland,Australia
11062,547,Noah Powell,M,Male,40000.00,Skilled Manual,2023-01-07,Portland,Oregon,United States
11063,634,Angela Murphy,S,Female,40000.00,Skilled Manual,2023-01-12,Redmond,Washington,United States
11064,315,Chase Reed,M,Male,40000.00,Skilled Manual,2023-01-25,Downey,California,United States
11065,331,Jessica Henderson,M,Female,60000.00,Skilled Manual,2023-02-10,La Jolla,California,United States
11066,543,Grace Butler,M,Female,70000.00,Professional,2023-05-31,Lebanon,Oregon,United States
11067,632,Caleb Carter,S,Male,60000.00,Professional,2023-08-18,Port Orchard,Washington,United States
11068,40,Tiffany Liang,S,Female,80000.00,Skilled Manual,2023-04-30,Warrnambool,Victoria,Australia
11069,23,Carolyn Navarro,S,Female,80000.00,Skilled Manual,2021-04-17,Gold Coast,Queensland,Australia
11070,39,Willie Raji,M,Male,80000.00,Skilled Manual,2021-04-28,Sunbury,Victoria,Australia
11071,24,Linda Serrano,S,Female,80000.00,Skilled Manual,2023-03-01,Hawthorne,Queensland,Australia
11072,17,Casey Luo,S,Female,80000.00,Skilled Manual,2021-03-31,St. Leonards,New South Wales,Australia
11073,16,Amy Ye,S,Female,70000.00,Skilled Manual,2023-03-23,Springwood,New South Wales,Australia
11074,28,Levi Arun,S,Male,70000.00,Skilled Manual,2023-03-23,Cloverdale,South Australia,Australia
11075,32,Felicia Jimenez,S,Female,80000.00,Professional,2021-04-28,Bendigo,Victoria,Australia
11076,19,Blake Anderson,S,Male,80000.00,Professional,2021-04-21,Wollongong,New South Wales,Australia
11077,36,Leah Ye,S,Female,80000.00,Professional,2021-04-15,Melton,Victoria,Australia
11078,49,Gina Martin,S,Female,40000.00,Professional,2023-02-15,Cliffside,British Columbia,Canada
11079,34,Donald Gonzalez,S,Male,160000.00,Management,2023-03-15,Geelong,Victoria,Australia
11080,30,Damien Chander,M,Male,170000.00,Management,2021-04-10,Perth,South Australia,Australia
11081,311,Savannah Baker,M,Female,120000.00,Management,2023-02-12,Concord,California,United States
11082,322,Angela Butler,S,Female,130000.00,Management,2023-01-22,Fremont,California,United States
11083,336,Alyssa Cox,M,Female,130000.00,Management,2023-01-06,Lincoln Acres,California,United States
11084,543,Lucas Phillips,S,Male,80000.00,Skilled Manual,2023-01-04,Lebanon,Oregon,United States
11085,345,Emily Johnson,S,Female,60000.00,Professional,2023-12-06,Newport Beach,California,United States
11086,369,Ryan Brown,M,Male,70000.00,Professional,2023-07-02,Santa Monica,California,United States
11087,307,Tamara Liang,M,Female,70000.00,Professional,2023-02-25,Chula Vista,California,United States
11088,359,Hunter Davis,M,Male,80000.00,Management,2023-01-13,San Diego,California,United States
11089,337,Abigail Price,S,Female,80000.00,Management,2022-12-29,Long Beach,California,United States
11090,338,Trevor Bryant,S,Male,90000.00,Professional,2021-08-07,Los Angeles,California,United States
11091,50,Dalton Perez,M,Male,90000.00,Professional,2023-01-29,Haney,British Columbia,Canada
11092,22,Cheryl Diaz,M,Female,90000.00,Professional,2021-04-08,East Brisbane,Queensland,Australia
11093,19,Aimee He,M,Female,100000.00,Management,2021-04-07,Wollongong,New South Wales,Australia
11094,33,Cedric Ma,S,Male,70000.00,Skilled Manual,2023-04-07,Cranbourne,Victoria,Australia
11095,13,Chad Kumar,S,Male,70000.00,Skilled Manual,2021-04-01,Port Macquarie,New South Wales,Australia
11096,12,Andrés Anand,M,Male,60000.00,Professional,2021-04-11,North Sydney,New South Wales,Australia
11097,40,Edwin Nara,M,Male,60000.00,Skilled Manual,2021-04-04,Warrnambool,Victoria,Australia
11098,14,Mallory Rubio,S,Female,60000.00,Skilled Manual,2023-02-11,Rhodes,New South Wales,Australia
11099,13,Adam Ross,M,Male,60000.00,Professional,2021-04-07,Port Macquarie,New South Wales,Australia
11100,28,Latasha Navarro,S,Female,60000.00,Skilled Manual,2021-04-16,Cloverdale,South Australia,Australia
11101,33,Abby Sai,S,Female,70000.00,Professional,2021-04-29,Cranbourne,Victoria,Australia
11102,18,Julia Nelson,S,Female,80000.00,Professional,2023-07-16,Sydney,New South Wales,Australia
11103,3,Cassie Chande,S,Female,70000.00,Professional,2021-04-15,Darlinghurst,New South Wales,Australia
11104,23,Edgar Sara,M,Male,70000.00,Professional,2021-05-04,Gold Coast,Queensland,Australia
11105,8,Candace Fernandez,S,Female,70000.00,Professional,2021-05-14,Matraville,New South Wales,Australia
11106,40,Jessie Liu,S,Male,70000.00,Professional,2021-05-18,Warrnambool,Victoria,Australia
11107,17,Bianca Lin,M,Female,90000.00,Professional,2021-05-01,St. Leonards,New South Wales,Australia
11108,13,Kari Alvarez,S,Female,70000.00,Professional,2021-05-03,Port Macquarie,New South Wales,Australia
11109,38,Ruben Kapoor,S,Male,70000.00,Professional,2021-05-10,South Melbourne,Victoria,Australia
11110,3,Curtis Yang,M,Male,60000.00,Skilled Manual,2021-05-01,Darlinghurst,New South Wales,Australia
11111,34,Meredith Gutierrez,M,Female,60000.00,Skilled Manual,2021-05-20,Geelong,Victoria,Australia
11112,25,Crystal Wang,M,Female,60000.00,Skilled Manual,2021-05-25,Hervey Bay,Queensland,Australia
11113,30,Micheal Blanco,M,Male,70000.00,Professional,2023-02-01,Perth,South Australia,Australia
11114,14,Leslie Moreno,S,Female,70000.00,Skilled Manual,2023-03-18,Rhodes,New South Wales,Australia
11115,17,Alvin Cai,M,Male,70000.00,Skilled Manual,2023-02-10,St. Leonards,New South Wales,Australia
11116,18,Clinton Carlson,M,Male,70000.00,Skilled Manual,2023-03-15,Sydney,New South Wales,Australia
11117,8,April Deng,M,Female,70000.00,Skilled Manual,2021-05-06,Matraville,New South Wales,Australia
11118,6,Alvin Zeng,S,Male,80000.00,Skilled Manual,2023-07-10,Lavender Bay,New South Wales,Australia
11119,13,Evan James,S,Male,30000.00,Clerical,2023-02-03,Port Macquarie,New South Wales,Australia
11120,18,Beth Jiménez,S,Female,40000.00,Management,2021-05-14,Sydney,New South Wales,Australia
11121,10,Orlando Suarez,M,Male,70000.00,Skilled Manual,2023-06-24,Newcastle,New South Wales,Australia
11122,12,Byron Vazquez,M,Male,70000.00,Skilled Manual,2023-02-21,North Sydney,New South Wales,Australia
11123,39,Philip Alvarez,M,Male,70000.00,Skilled Manual,2023-04-17,Sunbury,Victoria,Australia
11124,40,Ross Jordan,S,Male,80000.00,Skilled Manual,2021-05-05,Warrnambool,Victoria,Australia
11125,37,Dana Navarro,S,Female,70000.00,Skilled Manual,2023-01-31,Seaford,Victoria,Australia
11126,11,Shaun Carson,M,Male,10000.00,Skilled Manual,2021-05-28,North Ryde,New South Wales,Australia
11127,361,Jan Edwards,M,Female,40000.00,Skilled Manual,2023-04-10,San Gabriel,California,United States
11128,635,Samantha Long,M,Female,40000.00,Skilled Manual,2023-06-19,Renton,Washington,United States
11129,638,Julia Wright,S,Female,40000.00,Skilled Manual,2021-08-06,Sedro Woolley,Washington,United States
11130,543,Caroline Russell,M,Female,30000.00,Skilled Manual,2023-12-09,Lebanon,Oregon,United States
11131,50,Amanda Rivera,M,Female,30000.00,Skilled Manual,2023-10-18,Haney,British Columbia,Canada
11132,51,Melissa Richardson,S,Female,30000.00,Skilled Manual,2023-04-09,Langford,British Columbia,Canada
11133,542,Angela Griffin,S,Female,30000.00,Clerical,2023-12-30,Lake Oswego,Oregon,United States
11134,30,Larry Townsend,S,Male,10000.00,Skilled Manual,2021-05-03,Perth,South Australia,Australia
11135,302,Marcus Harris,S,Male,30000.00,Clerical,2023-04-18,Burlingame,California,United States
11136,53,Brianna Morgan,S,Female,40000.00,Skilled Manual,2023-01-03,Metchosin,British Columbia,Canada
11137,641,Jasmine Taylor,M,Female,40000.00,Skilled Manual,2023-07-31,Spokane,Washington,United States
11138,325,Lauren Davis,M,Female,40000.00,Skilled Manual,2023-09-19,Glendale,California,United States
11139,28,Tanya Moreno,S,Female,30000.00,Clerical,2023-09-14,Cloverdale,South Australia,Australia
11140,301,Javier Alvarez,S,Male,30000.00,Clerical,2023-03-19,Burbank,California,United States
11141,314,Nicole Ramirez,M,Female,40000.00,Skilled Manual,2023-05-16,Daly City,California,United States
11142,51,Eduardo Patterson,S,Male,40000.00,Skilled Manual,2023-02-13,Langford,British Columbia,Canada
11143,334,Jonathan Henderson,M,Male,40000.00,Skilled Manual,2023-06-15,Lakewood,California,United States
11144,607,Edward Hernandez,S,Male,40000.00,Skilled Manual,2023-01-25,Ballard,Washington,United States
11145,536,Jasmine Coleman,S,Female,40000.00,Skilled Manual,2023-01-25,Beaverton,Oregon,United States
11146,8,Karla Goel,S,Female,40000.00,Management,2023-02-05,Matraville,New South Wales,Australia
11147,40,Ernest Wu,M,Male,60000.00,Management,2021-05-13,Warrnambool,Victoria,Australia
11148,22,Ross Vazquez,M,Male,40000.00,Management,2023-03-07,East Brisbane,Queensland,Australia
11149,25,Theodore Gill,M,Male,40000.00,Management,2023-06-04,Hervey Bay,Queensland,Australia
11150,39,Russell Shen,S,Male,40000.00,Management,2023-03-27,Sunbury,Victoria,Australia
11151,18,Melinda Gill,S,Female,60000.00,Management,2021-05-15,Sydney,New South Wales,Australia
11152,633,James Williams,S,Male,40000.00,Skilled Manual,2023-01-09,Puyallup,Washington,United States
11153,635,Angela James,M,Female,40000.00,Skilled Manual,2023-03-29,Renton,Washington,United States
11154,553,Megan Walker,S,Female,40000.00,Skilled Manual,2023-01-10,Woodburn,Oregon,United States
11155,301,Hunter Robinson,S,Male,40000.00,Skilled Manual,2023-01-06,Burbank,California,United States
11156,334,Maria Roberts,S,Female,40000.00,Skilled Manual,2023-01-08,Lakewood,California,United States
11157,642,Hannah Long,M,Female,40000.00,Skilled Manual,2023-07-24,Tacoma,Washington,United States
11158,361,Jason Wright,S,Male,40000.00,Skilled Manual,2023-01-19,San Gabriel,California,United States
11159,385,Brianna Hughes,S,Female,40000.00,Skilled Manual,2023-09-08,Woodland Hills,California,United States
11160,311,Maurice Tang,S,Male,40000.00,Skilled Manual,2023-02-21,Concord,California,United States
11161,311,Emily Wood,S,Female,40000.00,Skilled Manual,2023-06-01,Concord,California,United States
11162,331,Chase Cox,S,Male,40000.00,Skilled Manual,2023-02-18,La Jolla,California,United States
11163,372,Gabriel Wang,M,Male,40000.00,Skilled Manual,2023-05-01,Spring Valley,California,United States
11164,374,Devin Brooks,S,Male,40000.00,Skilled Manual,2023-04-27,Torrance,California,United States
11165,348,Jocelyn Alexander,M,Female,60000.00,Skilled Manual,2023-05-25,Oakland,California,United States
11166,631,Ashley Martinez,S,Female,70000.00,Skilled Manual,2023-10-14,Olympia,Washington,United States
11167,618,Jasmine Barnes,S,Female,80000.00,Management,2023-01-07,Issaquah,Washington,United States
11168,348,David Rodriguez,S,Male,80000.00,Management,2023-01-15,Oakland,California,United States
11169,312,Bryce Richardson,M,Male,90000.00,Management,2023-05-26,Coronado,California,United States
11170,612,Carol Howard,M,Female,90000.00,Management,2023-08-26,Burien,Washington,United States
11171,385,Jonathan Hill,S,Male,100000.00,Management,2021-08-20,Woodland Hills,California,United States
11172,626,Gabrielle Adams,M,Female,100000.00,Management,2023-05-03,Lynnwood,Washington,United States
11173,552,Sarah Thomas,S,Female,110000.00,Management,2023-03-02,W. Linn,Oregon,United States
11174,338,Nicholas Robinson,M,Male,110000.00,Management,2023-07-13,Los Angeles,California,United States
11175,300,Luis Wang,S,Male,70000.00,Skilled Manual,2021-08-28,Beverly Hills,California,United States
11176,50,Mason Roberts,M,Male,90000.00,Management,2023-02-02,Haney,British Columbia,Canada
11177,359,Jose Flores,M,Male,110000.00,Management,2023-03-29,San Diego,California,United States
11178,334,Nathan Johnson,M,Male,100000.00,Management,2023-02-21,Lakewood,California,United States
11179,300,Molly Rodriguez,M,Female,120000.00,Management,2023-03-12,Beverly Hills,California,United States
11180,307,April Anand,M,Female,160000.00,Management,2023-03-17,Chula Vista,California,United States
11181,338,Devin Martin,M,Male,170000.00,Management,2023-05-07,Los Angeles,California,United States
11182,638,Stephanie Torres,S,Female,70000.00,Management,2023-08-28,Sedro Woolley,Washington,United States
11183,368,Jasmine Lee,S,Female,70000.00,Management,2023-04-30,Santa Cruz,California,United States
11184,311,Meghan Hernandez,S,Female,70000.00,Management,2023-08-10,Concord,California,United States
11185,53,Ashley Henderson,S,Female,70000.00,Management,2023-02-21,Metchosin,British Columbia,Canada
11186,352,Sarah Price,S,Female,70000.00,Management,2023-10-18,Palo Alto,California,United States
11187,612,Jennifer Cooper,M,Female,60000.00,Management,2023-04-03,Burien,Washington,United States
11188,361,Catherine Morris,M,Female,60000.00,Management,2023-11-01,San Gabriel,California,United States
11189,609,Lawrence Blanco,S,Male,60000.00,Management,2021-08-26,Bellingham,Washington,United States
11190,300,Carson Bryant,M,Male,70000.00,Management,2023-08-28,Beverly Hills,California,United States
11191,310,Kristi Perez,S,Female,70000.00,Management,2021-08-11,Colma,California,United States
11192,637,James Brown,M,Male,60000.00,Management,2023-06-23,Seattle,Washington,United States
11193,553,Ian Gray,M,Male,60000.00,Management,2023-02-25,Woodburn,Oregon,United States
11194,352,Jacqueline Price,M,Female,60000.00,Management,2023-03-13,Palo Alto,California,United States
11195,635,Megan Henderson,M,Female,60000.00,Management,2023-04-14,Renton,Washington,United States
11196,536,Alfredo Romero,M,Male,60000.00,Management,2023-03-03,Beaverton,Oregon,United States
11197,637,Andrea Morris,M,Female,70000.00,Management,2023-05-02,Seattle,Washington,United States
11198,368,Brooke Sanders,S,Female,70000.00,Management,2023-02-05,Santa Cruz,California,United States
11199,302,Jacqueline Bennett,M,Female,70000.00,Management,2023-03-18,Burlingame,California,United States
11200,69,Jason Griffin,M,Male,70000.00,Management,2023-02-07,Victoria,British Columbia,Canada
11201,369,Amanda Foster,M,Female,70000.00,Management,2023-07-01,Santa Monica,California,United States
11202,334,Alexia Price,M,Female,80000.00,Management,2023-09-15,Lakewood,California,United States
11203,60,Luis Diaz,M,Male,40000.00,Professional,2023-02-20,Port Hammond,British Columbia,Canada
11204,536,Destiny Rivera,M,Female,40000.00,Professional,2023-08-09,Beaverton,Oregon,United States
11205,612,Abby Fernandez,M,Female,40000.00,Professional,2023-07-27,Burien,Washington,United States
11206,626,Blake Flores,M,Male,60000.00,Professional,2023-05-11,Lynnwood,Washington,United States
11207,635,Danielle Cox,S,Female,60000.00,Professional,2023-01-31,Renton,Washington,United States
11208,325,Maria Reed,M,Female,60000.00,Management,2023-03-04,Glendale,California,United States
11209,336,Allison Evans,M,Female,60000.00,Management,2023-03-25,Lincoln Acres,California,United States
11210,383,Edward Wood,M,Male,70000.00,Professional,2023-05-06,West Covina,California,United States
11211,50,Samantha Russell,M,Female,40000.00,Professional,2023-02-01,Haney,British Columbia,Canada
11212,53,Chloe Campbell,M,Female,40000.00,Professional,2023-01-30,Metchosin,British Columbia,Canada
11213,614,Stephanie Murphy,S,Female,60000.00,Professional,2023-03-28,Edmonds,Washington,United States
11214,545,Charles Miller,S,Male,60000.00,Professional,2023-08-14,Milwaukie,Oregon,United States
11215,62,Ana Perry,M,Female,40000.00,Skilled Manual,2023-02-15,Royal Oak,British Columbia,Canada
11216,547,Jasmine Torres,S,Female,60000.00,Professional,2021-08-15,Portland,Oregon,United States
11217,547,Natalie Adams,S,Female,60000.00,Professional,2021-08-10,Portland,Oregon,United States
11218,642,Olivia Brown,S,Female,60000.00,Professional,2023-02-28,Tacoma,Washington,United States
11219,553,Charles Cook,M,Male,60000.00,Professional,2023-10-29,Woodburn,Oregon,United States
11220,310,Erica Huang,M,Female,60000.00,Professional,2023-03-14,Colma,California,United States
11221,334,Nathan Perry,M,Male,70000.00,Professional,2023-04-07,Lakewood,California,United States
11222,369,Alexandra Rivera,M,Female,80000.00,Management,2023-11-01,Santa Monica,California,United States
11223,52,Hailey Patterson,S,Female,70000.00,Professional,2023-01-29,Langley,British Columbia,Canada
11224,612,Tiffany Li,S,Female,70000.00,Professional,2021-08-07,Burien,Washington,United States
11225,635,Madison Lee,M,Female,60000.00,Professional,2023-06-22,Renton,Washington,United States
11226,552,Sydney Ross,M,Female,60000.00,Professional,2023-02-21,W. Linn,Oregon,United States
11227,310,Marshall Chavez,S,Male,60000.00,Professional,2021-08-03,Colma,California,United States
11228,316,Ashley Jones,M,Female,60000.00,Professional,2023-10-25,El Cajon,California,United States
11229,355,Adrian Stewart,S,Male,70000.00,Professional,2023-07-27,Redwood City,California,United States
11230,369,Amber Turner,M,Female,70000.00,Professional,2023-07-16,Santa Monica,California,United States
11231,611,Dennis Zhang,M,Male,60000.00,Professional,2023-02-10,Bremerton,Washington,United States
11232,616,Hailey Bryant,M,Female,60000.00,Professional,2023-09-20,Everett,Washington,United States
11233,299,Todd Li,M,Male,70000.00,Professional,2023-02-08,Berkeley,California,United States
11234,337,Anna Griffin,S,Female,70000.00,Professional,2023-02-08,Long Beach,California,United States
11235,607,Angel Stewart,M,Male,70000.00,Professional,2023-07-04,Ballard,Washington,United States
11236,609,Jeremy Butler,S,Male,70000.00,Professional,2023-10-03,Bellingham,Washington,United States
11237,161,Clarence Anand,S,Male,130000.00,Management,2021-09-05,Solingen,Nordrhein-Westfalen,Germany
11238,232,Mayra Prasad,S,Female,130000.00,Management,2021-01-06,Birmingham,England,United Kingdom
11239,249,Latoya Goel,M,Female,130000.00,Professional,2021-01-19,London,England,United Kingdom
11240,273,Anne Hernandez,M,Female,160000.00,Professional,2021-02-27,Watford,England,United Kingdom
11241,211,Lisa Cai,S,Female,100000.00,Professional,2022-09-10,Les Ulis,Essonne,France
11242,209,Larry Munoz,M,Male,110000.00,Professional,2022-09-19,Versailles,Yveline,France
11243,237,Robin Alvarez,M,Female,150000.00,Professional,2021-02-21,Esher-Molesey,England,United Kingdom
11244,267,Alexis Coleman,S,Female,170000.00,Management,2021-02-12,Runcorn,England,United Kingdom
11245,132,Ricky Vazquez,M,Male,120000.00,Professional,2021-09-26,Hamburg,Hessen,Germany
11246,147,Latasha Rubio,M,Female,120000.00,Professional,2021-10-03,Hamburg,Hamburg,Germany
11247,242,Claudia Zhou,S,Female,130000.00,Professional,2021-02-18,Lancaster,England,United Kingdom
11248,223,Tristan Alexander,M,Male,110000.00,Professional,2023-07-14,Saint-Denis,Seine Saint Denis,France
11249,178,Cindy Patel,M,Female,130000.00,Professional,2021-10-09,Sulzbach Taunus,Saarland,Germany
11250,276,Shannon Liu,M,Female,170000.00,Professional,2021-03-17,Woolston,England,United Kingdom
11251,50,Xavier Long,S,Male,30000.00,Professional,2023-10-18,Haney,British Columbia,Canada
11252,335,Nicholas Thompson,S,Male,90000.00,Management,2021-08-14,Lemon Grove,California,United States
11253,69,José Hernandez,M,Male,60000.00,Management,2023-03-01,Victoria,British Columbia,Canada
11254,612,Johnathan Vance,M,Male,70000.00,Management,2023-11-23,Burien,Washington,United States
11255,612,Colin Lin,M,Male,70000.00,Management,2023-02-23,Burien,Washington,United States
11256,626,Katelyn Hernandez,M,Female,70000.00,Management,2023-04-15,Lynnwood,Washington,United States
11257,345,Jacqueline Powell,S,Female,120000.00,Management,2021-08-24,Newport Beach,California,United States
11258,352,Xavier Hill,M,Male,120000.00,Management,2023-05-21,Palo Alto,California,United States
11259,548,Victoria Stewart,M,Female,100000.00,Professional,2021-09-04,Salem,Oregon,United States
11260,302,Katelyn Kelly,M,Female,110000.00,Management,2023-02-05,Burlingame,California,United States
11261,359,Stephanie Collins,M,Female,130000.00,Management,2021-09-27,San Diego,California,United States
11262,60,Jennifer Simmons,M,Female,80000.00,Management,2023-02-27,Port Hammond,British Columbia,Canada
11263,612,Trinity Richardson,M,Female,90000.00,Professional,2021-08-29,Burien,Washington,United States
11264,618,Eduardo Martin,S,Male,90000.00,Professional,2023-01-02,Issaquah,Washington,United States
11265,623,Elizabeth Jones,M,Female,90000.00,Professional,2023-01-03,Kirkland,Washington,United States
11266,632,Taylor Howard,S,Female,90000.00,Professional,2021-09-10,Port Orchard,Washington,United States
11267,302,David Diaz,S,Male,120000.00,Professional,2021-09-17,Burlingame,California,United States
11268,312,Katelyn Carter,M,Female,130000.00,Management,2023-05-29,Coronado,California,United States
11269,314,Ryan Foster,M,Male,130000.00,Management,2023-08-22,Daly City,California,United States
11270,334,Robert Lee,M,Male,130000.00,Management,2021-09-10,Lakewood,California,United States
11271,360,Danielle Reed,S,Female,150000.00,Management,2021-09-27,San Francisco,California,United States
11272,300,Lauren Martinez,S,Female,70000.00,Professional,2021-09-19,Beverly Hills,California,United States
11273,331,Nathan Lal,M,Male,90000.00,Professional,2023-05-14,La Jolla,California,United States
11274,609,Kyle Foster,M,Male,50000.00,Management,2021-08-29,Bellingham,Washington,United States
11275,310,Jenny Rai,M,Female,80000.00,Management,2021-08-30,Colma,California,United States
11276,49,Nancy Chapman,M,Female,80000.00,Professional,2023-01-29,Cliffside,British Columbia,Canada
11277,62,Charles Jackson,M,Male,80000.00,Professional,2023-02-02,Royal Oak,British Columbia,Canada
11278,614,Jonathan Phillips,S,Male,90000.00,Professional,2021-09-16,Edmonds,Washington,United States
11279,616,Amanda Cook,M,Female,90000.00,Professional,2023-03-03,Everett,Washington,United States
11280,626,Robert Collins,M,Male,90000.00,Professional,2023-07-01,Lynnwood,Washington,United States
11281,301,Megan Barnes,S,Female,110000.00,Management,2021-09-13,Burbank,California,United States
